,Name,Description,date_guess,type_guess
291,"*Baltimore, MD","The legendary Baltimore Old Time & Bluegrass jams are now at R. House every Tuesday! <br> All are welcome to play along in the jam regardless of skill level or instrument. Even if you don't play, you can come to soak in the scene, listen to the music and grab a bite to eat from one of the ten food stalls or a drink from R. Bar. It's THE happening spot in town for food and community. This Tuesday, Ken & Brad Kolodner will lead the Baltimore Old Time Jam from 7-10pm. The first hour of the jam will be a ""slow jam"" so anyone can hop in and play along at a moderate tempo. From 8-10pm, we'll kick up the tempo for the ""fast jam."" Imagine a sea of fiddles, banjos, guitars and more all swelling together in a chorus of joyous tunes! Free parking.<br><br>CR 9/12/2022",Tuesday,weekly gathering
293,"Baltimore, MD",This is not for every square dance but You can  join the band and play for the dance on nights when they allow that.                         Contact info: Contact: Brad Kolodner 410-404-9270 bradkolodner@gmail.com to RSVP for the Mega Baltimore Old Time Jam Band!,nights,weekly gathering
294,"*Brunswick, MD","Beans In The Belfry Coffee Shop.<br>122 West Potomac Street,<br>Old Time Frederick hosts an old time jam from 3pm to 6pm on the first and third Sunday of every month at Beans in the Belfry. We welcome beginners and kids as well as experienced and grown up players. We play the Appalachian old time tunes from the OTF tunes list. Check the OTF web site for updates or ask OTF to add you to the mailing list. Bring a folding chair if you can.<br><br>https://sites.google.com/view/old-time-frederick/<br><br>http://www.beansinthebelfry.com/events/<br><br>Updated CR 6/20/2022",first and third Sunday,weekly gathering
296,"*Chaptico, MD","Southern Maryland Open Band<br>The 2nd Saturday of the month September through June.<br><br>The Open Band is skillfully lead by Elgin Perry, one of the founding members of the group. Elgin will tell you, playing for such exuberant dancers is a hoot. And, a big bonus is that the band is truly ""open."" We are not an auditioned band. If you want to join the band, just bring your instrument to a dance around 6 PM for warmup and enjoy a fun night with a bunch of new friends.<br><br>https://www.smtmd.org/<br><br>CR 10/6/2022",September through June,weekly gathering
297,"Cumberland, MD","Old Time Music Jam, every Tuesday afternoon from 1 PM to 5 PM - rotating between various Folkie Homes throughout the Eastern Panhandle of West Virginia, Northern Virginia and Southern Maryland. Musicians traveling from outside the area should Text Cuch @ 609-304-5364 to determine the exact location for that week.",Tuesday,weekly gathering
298,"Damascus, MD","2nd-Wednesday Jam, Music Cafe, Damascus MD. Wed slow=5pm, fast=6pm.",2nd-Wednesday,weekly gathering
300,"Oakland, MD","Old Time Jam <br>every 2nd Thursday 7:00 pm<br>Our Town Theater<br>121 E Center St, Oakland, MD<br> Info: 301-334-5991<br><br>CR 4/24/2019",Thursday,weekly gathering
301,"*Poolesville, MD","One Friday a month 6-9pm<br>Check the calendar here:<br>https://sites.google.com/view/old-time-frederick/<br>Jonathan's Jam at <br>Rocklands Winery, <br>14531 Montevideo Rd, Poolesville, MD<br><br>CR 6/20/2022",Friday a month 6-9pm,weekly gathering
302,"Salisbury, MD",Old Time weekly on Thursday nights.<br>Contact: Annie Williams 410-548-2348 for location and to confirm jam is happening because it is only two of us but welcome visitors.<br>https://www.facebook.com/annie.williams.1840<br><br>CR 3/13/2019,Thursday,weekly gathering
304,"Salisbury, MD",Get a taste of some straight up driving Bluegrass and Old Time Music<br>Traditional Bluegrass and Old Time Jam at the Pemberton Coffeehouse.<br>Wednesdays<br>Free Workshops from 5-6pm<br>JAM from 6-8pm<br>Contact Mickey Justice<br>https://www.facebook.com/mickey.justice.9,Wednesdays<br>Free Workshops from 5-6pm,weekly gathering
305,"Takoma Park, MD","3rd Wed 7:30pm. jam at Takoma Bev Co <br>6917 Laurel Ave, Takoma Park, MD<br>Slow Jam 7:30-8:30 and fast jam till 10:30PM<br>https://www.facebook.com/groups/takomaparkoldtimejam/",3rd Wed 7:30pm,weekly gathering
307,"*Allston, MA","Weekly Sunday afternoon, outdoors Dave Millar's Herter Park Old Time jam session in Allston, MA along the Charles River from 1 - 3 pm. weather permitting. <br>We meet at Christian A. Herter Park in Allston. Parking is across Soldier's Field Road from the offices of WBZ. The street address of the parking lot is 1175 Soldier's Field Road in Allston, MA. GPS coordinates: 42°21'56.6""N 71°08'10.2""W. When you get out of your car in the parking lot, look toward the river, away from Soldier's Field Road and you will see us. We set up under the trees in the shade.<br>Text me if you are planning to attend. My mobile number is 857 206-5590.<br>Bring your own chair, please. <br>Updated CR 7/18/2022",Sunday,weekly gathering
310,"Ayer, MA","1st and 3rd Thursdays (and 5th, if ever) 6pm - 9pm<br><br> Markoh's on Main<br>43 Main St, Ayer, MA<br><br>CR 1/31/2020",1st and 3rd Thursdays,weekly gathering
312,"Boston, MA","Doyle's pub in Jamaica Plain, 2nd and 4th Wednesdays of the month. 7:30- whenever PM.    Updated JS 3/19/22",2nd and 4th Wednesdays,weekly gathering
314,"Brewster, MA","Old Time Open Jam                                                     Usually last Saturday of each month. Private residence, contact Reese Brewer on Facebook    https://www.facebook.com/profile.php?id=100010335001528&fref=gs&dti=228579514221303&hc_location=group_dialog                           Pot Luck 6pm. Music 7 to at least 9pm. ",Saturday,weekly gathering
316,"*Cambridge, MA","Club Passim is sponsoring music jams every Sunday but not all of them are old-time.<br>10:30am - 1:30pm<br><br>Check the calendar:<br>https://www.passim.org/live-music/brunch/<br><br>47 Palmer St<br>Cambridge, MA<br><br><br>CR 1/31/2023",10:30am - 1:30pm,weekly gathering
320,"*Fairhaven/New Bedford, MA","Old Time Fiddle Session and Community Gathering: We generally meet at Brick Fairhaven in the winter months and the Brick in New Bedford during the summer months. New Bedford is an open air jam. 1st Sunday of the month, 1pm start time. Location: 163 Union St., New Bedford, MA.  and we're on facebook at www.facebook.com/oldtimefiddlesession .                  A  gathering of Old Time String Band musicians, good friends, friends of friends, and friendly strangers. Good food, music, and company. We're at the wonderfully accommodating Brick Fairhaven again. Tell your mother, tell your father, tell your sister, tell your brother, Aunt Lucy run and tell Uncle Joe. You can bring your grandma or your punk rock neighbor, your sweetheart, or your four year old. And hell yes, you can and should bring your guitar, mandolin, fiddle, bass, or banjo. Come cut some tunes with us, lend an ear, or just meet up with a friend in a mighty fun spot.    https://www.facebook.com/OldTimeFiddleSession/?                                                                                https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.southcoastlessons.squarespace.com%2F%3Ffbclid%3DIwAR2lle4BHa5N5WBRjyQyk8S6yL0MhfA23Diy3Yk_Pp7K1U_PeraBUHRzaqk&h=AT2Zg0AQt7OKav0qmROYn4PZC172Q7A0s8FtHjXYu42hvf2TpqLwNOIClu367lDTABv6NqOGWPsNRBXUlAaNdE-bef2ggccVTjBgMBpSghEx2bQAhT5N2YbkH5o9X9ZHYato9Aa_ubZjQBTOY1k                                    (508) 207-7357                                                             JS 6/16/21",1st Sunday,annual event
325,"Middleton, MA","This jam hasn't restarted yet but probably will in Sept of 21. This jam is 2-4 PM on 4th Sundays at the Flint Library in Middleton, MA (North Shore, near Peabody) - there is a Facebook page 'North Shore Folk Sessions' admin by Andy Mullen. They have a nice tunebook with dots for 100 tunes and chord charts (is in the files section of their page). Several regulars are advanced beginner level, so they play some tunes as a slow jam and others at more moderate tempo...<br><br>https://www.facebook.com/groups/1502152670047552/?hc_location=ufi                                            JS 6/16/21",4th Sundays,weekly gathering
328,"New Bedford, MA","Old Time Fiddle Session and Community Gathering: We generally meet at Wings Court, 163 Union St, New Bedford, MA. Jams are on 1st Sundays at 1pm  and we're on facebook at www.facebook.com/oldtimefiddlesession .                  Baby it's cooold out there! Join us for a warm community event with hot tunes and blazing brick oven pizza. We're at the wonderfully accommodating Brick again. Tell your mother, tell your father, tell your sister, tell your brother, Aunt Lucy run and tell Uncle Joe. You can bring your grandma or your punk rock neighbor, your sweetheart, or your four year old. And hell yes, you can and should bring your guitar, mandolin, fiddle, bass, or banjo. Come cut some tunes with us, lend an ear, or just meet up with a friend in a mighty fun spot.   <br>https://www.facebook.com/OldTimeFiddleSession/?                                                                                 Old Time Fiddle Session and Community Gathering, Mattapoisett Museum <br>5 Church St, Mattapoisett, MA 02739-2618.<br>Price: Free<br><br>JS 7/4/21",1st Sundays,weekly gathering
329,"North Falmouth, MA","We play and promote fiddle tunes and acoustic music around Cape Cod<br><br>PLAY WITH US! <br>All are welcome at our sessions (dates sometimes change or cancel, and locations may vary - call to confirm and for directions)<br>-1st Fridays 7-9pm Bob and Laura's, North Falmouth 508-564-4202<br>-2nd Thursdays 5-7pm Michael's, Teaticket (East Falmouth) 508-566-5626<br>-4th Sundays 2-5pm Ursula and Damian's North Falmouth 508-563-9494<br>and usually when we perform at local festivities:<br> <br>https://www.falmouthfiddlers.org/<br><br>https://groups.io/g/FF<br><br>CR 3/5/2019",4th Sundays,weekly gathering
331,Plympton MA,Plympton Old Time Jam (Potjam)<br>2nd & 4th Mondays of the month                             198 Main St.  Plympton MA                                        7 to 9 PM                                                                       Contact Barry and Carolyn at bardec@comcast.net                     ,Mondays,weekly gathering
333,"Rehoboth, MA","The Sunday Night Jammers meet at Goff Hall (Rehoboth Public Library)Sunday Night Jammers, Rehoboth Contra dance at 124 Bay State Road, Rehoboth, MA 02769 - jam weekly, free dance with open band once a month.. 124 Bay State Road in Rehoboth MA every Sunday, 7-9pm<br>http://www.contradancelinks.com/jammers.html",Sunday,weekly gathering
334,"*Shrewsbury, MA","Scandi **Fiddle Club meeting Mondays 7 - 9 PM at SAC Park, 438 Lake St, Shrewsbury MA their tunebook is in the 'files' section of this FB page <br>https://www.facebook.com/groups/oldtimemusicinnewengland<br><br>Cancelling some meetings during the current Covid surge. Check with SAC before travelling<br>508-757-3948<br><br>CR 7/18/2022",Mondays,weekly gathering
